        14     11     22
        15     45     1
        23     7     5
      1440     3     3
        25     31     45
       135     3     5
        29     37     3
        30     32     5
        33     11     5
        35     32     1
      1365     3     5
        40     46     31
        41     11     11
        42     43     7
        48     3     7
        49     32     43
       337     3     32
        50     39     33
        51     38     5
        52     12     33
        53     1     3
       347     3     7
        54     40     7
       926     3     7
        60     11     11
        61     31     7
        71     33     12
        77     12     7
        79     35     32
      1340     3     39
        82     43     7
       636     3     31
        84     38     5
        95     1     7
       102     33     7
       107     31     7
       108     1     31
       129     11     7
       147     43     5
      1208     3     37
      1673     3     37
       150     32     43
       152     32     3
      1674     3     46
       155     31     40
       162     11     7
       163     37     5
       164     1     7
       170     31     37
       301     1     31
       171     1     5
       366     1     5
       172     39     5
       178     31     3
       190     31     5
       206     40     22
       213     43     7
       214     43     7
       217     39     43
       223     31     7
       235     32     7
       242     31     40
       248     22     7
       252     40     7
       258     3     7
       259     3     7
       690     1     7
       262     12     31
       267     40     3
       278     35     3
       282     3     32
       288     38     37
       864     1     3
       295     12     37
       318     43     5
       322     11     37
       324     31     37
       325     31     43
       331     43     7
       332     43     11
       333     1     33
       334     38     3
       344     3     3
       351     39     5
      1088     1     5
       359     39     3
       362     43     7
       367     22     7
      1158     1     3
       385     1     5
       392     39     5
      1180     1     5
       393     37     3
       398     38     3
       400     1     5
       401     31     7
       408     12     7
       414     1     37
       426     33     35
      1366     1     33
      1369     1     37
      1370     1     5
       429     31     35
       433     45     3
       434     37     3
       443     1     3
       444     31     12
       448     43     7
       450     39     37
       451     3     37
       452     31     12
       455     37     3
       460     31     32
       470     31     38
       474     11     11
       475     35     3
       478     1     35
       483     7     3
      1527     1     31
       486     32     43
       487     43     7
       488     3     5
       494     31     1
       495     33     7
       500     32     7
       505     1     3
       511     1     22
      1653     1     32
       521     39     7
       530     39     7
      1699     1     7
       531     40     7
       534     32     40
       535     5     7
       554     37     12
       558     7     7
       561     3     5
       564     31     1
      1834     1     31
       566     31     5
       568     1     3
       572     31     3
      1847     1     3
       575     1     3
       580     1     5
       595     31     32
       598     1     39
       605     1     7
       606     32     5
       612     3     5
       622     43     7
       623     43     5
       624     39     7
       626     33     7
       630     31     44
       631     40     5
       634     5     43
       635     32     12
       637     32     3
       640     1     39
       641     31     12
       642     7     5
      1409     34     37
       643     12     1
       658     3     7
       663     11     11
       681     11     7
       687     1     31
      1170     45     37
       697     31     46
       701     39     37
       703     1     32
       706     22     1
       707     37     22
       708     11     11
       710     1     3
       712     11     5
       716     31     3
       722     38     37
      2008     45     34
      2036     45     5
       727     3     34
       728     31     37
       732     39     3
       737     39     22
       743     31     39
       744     31     39
       761     3     32
       780     1     3
       784     31     1
       791     31     3
       792     7     5
       797     31     37
       798     40     22
       801     32     31
       802     7     7
       808     11     40
       818     11     11
       821     5     7
       824     7     5
       837     31     7
       842     38     7
       850     32     37
       852     40     22
       853     1     7
       856     31     22
       857     12     7
       858     37     3
       863     1     32
       865     39     5
       868     11     33
       870     35     3
       871     5     32
       879     43     5
       880     11     3
       882     11     1
       668     43     7
       883     40     7
       890     32     37
       894     22     7
       895     31     33
      1292     43     7
      1373     43     1
       896     32     43
       897     11     5
       904     40     5
       914     44     40
       917     32     3
       918     11     31
      1800     43     7
      1828     43     7
       919     40     7
       920     32     5
       921     39     5
       922     31     32
       925     35     3
       696     35     3
       940     1     32
       941     31     12
       949     12     39
       959     1     1
       968     1     22
      1142     35     12
       969     3     1
       972     12     7
       977     32     3
       978     31     3
      1552     35     1
       979     40     3
       980     46     38
       981     1     3
       982     32     43
       983     32     43
       984     39     22
       985     37     3
      2041     35     3
       987     3     31
       988     11     11
       989     32     31
       990     31     7
        98     32     7
       991     5     39
       992     1     22
       993     31     7
       387     32     3
       994     1     12
       995     11     90
       996     43     7
       567     32     7
       997     31     22
       998     1     5
      1002     22     7
      1006     32     43
      1007     3     7
      1011     46     7
      1012     32     5
      1013     32     3
      1014     32     7
      1021     11     7
      1022     32     5
      1044     1     22
      1046     11     40
      1047     1     32
      1048     39     7
      1049     40     3
      1057     35     7
      1061     22     5
      1045     32     46
      1067     32     33
      1062     31     37
      1137     32     3
      1063     45     31
      1064     35     37
      1190     32     46
      1065     11     3
      1066     12     5
      1069     1     33
      1070     1     3
      1078     90     7
      1079     90     7
      1085     11     11
      1086     37     5
      1089     31     32
      1090     39     3
      1101     38     33
      1511     32     35
      1604     32     7
      1102     31     7
      1105     37     5
      1652     32     7
      1662     32     5
      1106     37     3
      1108     31     7
      1111     12     37
      1116     32     37
      1117     44     3
      1118     3     3
      1123     39     7
      1125     38     12
      1946     32     7
      1127     11     1
      1129     43     5
      1130     31     35
      2086     32     3
       310     7     3
      1131     1     12
      1132     1     5
      1135     35     3
      1146     1     5
      1147     31     7
      1148     38     37
      1150     33     5
      1054     7     5
      1151     43     5
      1152     38     5
      1402     7     5
      1153     31     7
      1154     37     3
      1576     7     5
      1155     39     12
      1156     22     3
      1157     32     31
      1166     1     33
      1177     1     45
      1178     32     39
      1182     11     11
      1848     7     12
      1187     31     7
      1192     11     44
      1199     32     43
      1200     38     37
      1201     39     37
      1204     37     5
      1205     11     3
      1206     39     46
      1210     46     7
       438     11     46
      1211     39     37
      1216     1     5
      1221     35     37
      1222     35     37
      1223     1     7
      1228     32     12
      1229     31     7
      1230     32     34
      1231     11     34
      1232     31     12
      1239     3     5
      1240     3     7
      1241     31     12
      1267     32     45
      1268     33     5
      1269     39     5
      1272     11     45
      1273     1     3
      1279     31     1
      1280     31     22
      1281     11     31
      1287     1     1
      1288     3     7
      1297     7     5
      1298     1     32
      1299     31     22
      1301     32     3
      1302     40     22
      1303     32     39
      1306     38     3
      1310     1     3
      1314     33     5
      1322     34     12
      1325     5     33
      1631     11     7
      1328     7     1
      1329     40     31
      1334     1     5
      1337     35     32
      1338     3     3
      1344     39     5
      1351     11     11
      1357     32     37
      1362     40     5
      1837     11     1
      1363     11     1
      1374     11     11
      1376     31     7
      1377     33     33
      1378     12     43
      1379     1     1
      1384     31     3
      1389     31     1
      1397     31     3
      1398     11     3
      1399     7     5
      1400     12     32
      1401     1     33
      1408     3     5
      1410     1     5
      1413     1     32
      1423     35     40
      1426     1     3
      1427     33     7
      1429     31     3
      1431     11     5
      1442     32     5
      1443     1     37
      1454     32     5
      1455     31     12
       898     39     22
      1458     32     7
      1459     31     35
      1461     1     7
      1464     38     3
      1468     1     7
      1470     1     37
      1471     32     7
      1472     7     5
      1475     1     35
      1478     31     7
      1479     5     7
      1499     39     40
      1480     1     7
      1481     11     34
      1482     3     39
      1483     44     7
      1489     45     35
      1490     1     37
      1491     31     32
      1492     1     3
      1496     40     3
      1497     33     38
      1498     11     3
      1500     40     22
      1501     1     32
      1502     7     5
      1507     37     5
      1508     5     7
      1510     31     7
      1512     38     3
       386     31     31
      1513     1     7
      1515     90     3
      1516     31     7
      1517     31     37
      1518     31     40
      1526     1     12
      1532     31     31
      1537     11     7
      1538     43     3
      1541     1     32
      1543     7     22
       620     31     7
      1544     12     7
      1547     31     5
       695     31     12
      1550     43     7
      1551     31     3
      1553     31     3
      1554     33     12
      1560     31     12
      1566     11     5
      1573     37     5
      1578     1     1
      1579     3     31
      1581     43     31
      1582     39     5
      1583     31     3
      1590     40     5
       965     31     31
       967     31     1
      1592     31     46
      1593     1     22
      1602     1     3
      1603     39     3
      1605     1     7
      1608     43     40
      1091     31     1
      1609     1     5
      1610     40     5
      1615     1     7
      1616     35     5
      1617     31     3
      1618     32     5
      1619     34     3
      1620     38     7
      1621     31     43
      1622     38     5
      1623     35     43
      1624     31     45
      1625     3     7
      1626     39     3
      1627     31     35
      1628     33     7
      1629     32     43
      1632     45     34
      1634     11     5
      1649     1     31
      1488     31     37
      1660     11     43
      1661     1     12
      1676     1     5
      1677     32     5
      1678     31     43
      1679     37     3
      1536     31     5
      1681     31     3
      1682     31     1
      1684     32     7
      1688     32     5
      1690     45     46
      1691     11     5
      1695     43     5
      1696     3     5
      1697     31     5
      1698     11     11
      1703     11     45
      1704     37     12
      1707     1     5
      1683     31     1
      1708     1     12
      1709     12     1
      1710     31     35
      1715     31     5
      1716     32     37
      1717     1     3
      1718     37     3
      1730     45     1
      1732     11     11
      1733     7     5
      1734     22     7
      1736     40     3
      1737     37     3
      1741     31     3
      1933     31     7
      1751     11     11
      1752     39     7
      1753     43     1
      1980     31     3
      1755     11     11
      1759     11     11
      1760     3     31
      2035     31     1
      1762     22     40
      1764     3     5
      1765     90     3
      1773     1     5
      1778     33     7
      1779     45     5
      1783     37     5
      1784     3     22
      1785     1     3
      1786     1     3
      1787     3     37
      1802     37     3
      1804     31     7
      1805     39     3
      1806     31     3
      1816     7     5
      1817     31     12
      1818     31     33
      1819     7     37
      1820     31     37
      1823     31     39
      1824     3     37
      1831     1     34
      1832     37     3
      1833     31     5
      1139     33     37
      1835     32     37
      1836     1     31
      1838     43     7
      1839     35     3
      1841     45     43
      1843     1     22
      1844     37     5
      1845     1     3
      1849     40     5
      1854     40     7
      1855     31     45
      1859     45     46
       532     22     5
      1866     32     5
      1869     40     5
      1870     22     5
      1871     38     5
      1874     35     12
      1875     31     45
      1876     1     33
      1878     31     7
      1889     3     12
      1897     1     1
      1899     32     3
      1903     3     22
      1909     32     32
      1910     35     3
      1911     45     46
      1919     1     7
      1924     12     3
      1926     7     5
      1927     1     5
      1931     11     5
      1932     7     5
      1934     40     5
      1935     39     5
      1939     1     7
      1945     45     7
      1949     7     5
      1950     35     3
      1951     35     31
      1952     32     3
      1953     45     43
      1955     11     22
      1956     1     32
      1961     11     11
      1963     43     7
      1965     31     1
      1966     31     46
      1967     31     12
      1977     11     3
      1978     33     31
      1981     31     1
      1983     32     31
      1990     7     3
      1991     3     7
      1670     37     3
      1992     31     5
      1994     11     22
      1735     37     3
      1995     31     32
      2001     37     5
      2002     40     5
      1898     37     3
      2011     44     3
      2016     11     5
       498     37     5
       650     37     5
      1023     37     5
      2026     1     46
      2037     40     22
      2038     39     40
      2039     12     5
      1528     37     5
      2042     31     1
      1599     37     5
      2044     11     11
      2045     11     12
      2046     11     11
      2047     37     5
      2048     37     5
      1700     37     43
      1742     37     31
      2060     34     7
      2065     32     12
      2071     37     3
      2072     31     7
      2073     11     3
      2076     11     3
      2079     35     5
      1462     46     7
      1514     46     7
      2080     1     37
      2081     1     31
      2082     1     3
      2093     31     3
