33, 5, 7, 3,12, 1
33, 5, 7, 3,22, 1
33, 5, 7, 3,31, 1
33, 5, 7, 3,32, 1
33, 5, 7,12, 3, 1
33, 5, 7,12,31, 1
33, 5, 7,12,32, 1
33, 5, 7,12,43, 1
33, 5, 7,22, 3, 1
33, 5, 7,37, 3, 1
33, 5, 7,37,12, 1
33, 5, 7,37,22, 1
33, 5, 7,37,31, 1
33, 5, 7,37,43, 1
33, 5,32, 3, 7, 1
33, 5,32, 3,12, 1
33, 5,32, 3,22, 1
33, 5,32, 3,31, 1
33, 5,32, 7, 3, 1
33, 5,32, 7,12, 1
33, 5,32, 7,22, 1
33, 5,32,12, 3, 1
33, 5,32,12, 7, 1
33, 5,32,12,31, 1
33, 5,32,12,43, 1
33, 5,32,31, 3, 1
33, 5,32,31, 7, 1
33, 5,32,31,12, 1
33, 5,32,31,22, 1
33, 5,32,31,35, 1
33, 5,32,31,43, 1
33, 5,32,31,45, 1
33, 5,32,34, 3, 1
33, 5,32,34, 7, 1
33, 5,32,34,12, 1
33, 5,32,35, 3, 1
33, 5,32,35, 7, 1
33, 5,32,35,12, 1
33, 5,32,35,31, 1
33, 5,32,35,43, 1
33, 5,32,37, 3, 1
33, 5,32,37,12, 1
33, 5,32,37,22, 1
33, 5,32,37,31, 1
33, 5,32,37,43, 1
33, 5,32,39, 3, 1
33, 5,32,39, 7, 1
33, 5,32,39,12, 1
33, 5,32,39,22, 1
33, 5,32,39,43, 1
33, 5,32,40, 3, 1
33, 5,32,40, 7, 1
33, 5,32,40,22, 1
33, 5,32,40,31, 1
33, 5,32,43, 3, 1
33, 5,32,43, 7, 1
33, 5,32,43,11, 1
33, 5,32,43,31, 1
33, 5,32,45, 3, 1
33, 5,32,45, 7, 1
33, 5,32,45,31, 1
33, 5,32,45,35, 1
33, 5,32,45,43, 1
33, 5,32,46, 7, 1
33, 5,32,46,31, 1
33, 5,39, 3, 7, 1
33, 5,39, 3,12, 1
33, 5,39, 3,22, 1
33, 5,39, 3,31, 1
33, 5,39, 3,32, 1
33, 5,39, 7, 3, 1
33, 5,39, 7,12, 1
33, 5,39, 7,22, 1
33, 5,39,12, 3, 1
33, 5,39,12, 7, 1
33, 5,39,12,31, 1
33, 5,39,12,32, 1
33, 5,39,12,43, 1
33, 5,39,22, 3, 1
33, 5,39,22, 7, 1
33, 5,39,37, 3, 1
33, 5,39,37,12, 1
33, 5,39,37,22, 1
33, 5,39,37,31, 1
33, 5,39,37,43, 1
33, 5,39,40, 3, 1
33, 5,39,40, 7, 1
33, 5,39,40,22, 1
33, 5,39,40,31, 1
33, 5,39,43, 3, 1
33, 5,39,43, 7, 1
33, 5,39,43,11, 1
33, 5,39,43,31, 1
33, 5,39,46, 7, 1
33, 5,39,46,31, 1
33, 5,43, 3, 7, 1
33, 5,43, 3,12, 1
33, 5,43, 3,22, 1
33, 5,43, 3,31, 1
33, 5,43, 3,32, 1
33, 5,43, 7, 3, 1
33, 5,43, 7,12, 1
33, 5,43, 7,22, 1
33, 5,43,11, 3, 1
33, 5,43,11, 7, 1
33, 5,43,11,12, 1
33, 5,43,11,22, 1
33, 5,43,11,31, 1
33, 5,43,11,45, 1
33, 5,43,31, 3, 1
33, 5,43,31, 7, 1
33, 5,43,31,12, 1
33, 5,43,31,22, 1
